CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:06 PM,BTC,cex,1100192.582,koinex  ,1226000.0,11.435,-10.262
27/Dec/2017: 07:06 PM,BTC,Bittrex ,1045678.614,koinex  ,1226000.0,17.244,-14.708
27/Dec/2017: 07:06 PM,BTC,exmo    ,1043259.35,koinex  ,1226000.0,17.516,-14.905
27/Dec/2017: 07:06 PM,BTC,bitfinex,1007077.314,koinex  ,1226000.0,21.738,-17.857
27/Dec/2017: 07:06 PM,BTC,Kraken  ,1016394.988,koinex  ,1226000.0,20.622,-17.097

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:06 PM,ZEC,Bittrex ,35629.25,cex,37150.209,4.269,-4.094
27/Dec/2017: 07:06 PM,ZEC,exmo    ,35541.645,cex,37150.209,4.526,-4.33
27/Dec/2017: 07:06 PM,ZEC,bitfinex,34454.263,cex,37150.209,7.825,-7.257
27/Dec/2017: 07:06 PM,ZEC,Kraken  ,34447.218,cex,37150.209,7.847,-7.276

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:06 PM,QTUM,bitfinex,3098.335,cex,3705.1,19.584,-16.376

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:11 PM,XRP,cex,73.299,koinex  ,92.0,25.513,-20.327
27/Dec/2017: 07:11 PM,XRP,Bittrex ,75.773,koinex  ,92.0,21.416,-17.638
27/Dec/2017: 07:11 PM,XRP,exmo    ,75.886,koinex  ,92.0,21.234,-17.515
27/Dec/2017: 07:11 PM,XRP,bitfinex,72.748,koinex  ,92.0,26.463,-20.926
27/Dec/2017: 07:11 PM,XRP,Kraken  ,72.898,koinex  ,92.0,26.205,-20.764

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:11 PM,ETH,cex,52380.738,koinex  ,58300.0,11.3,-10.153
27/Dec/2017: 07:11 PM,ETH,Bittrex ,49797.482,koinex  ,58300.0,17.074,-14.584
27/Dec/2017: 07:11 PM,ETH,exmo    ,49886.381,koinex  ,58300.0,16.866,-14.432
27/Dec/2017: 07:11 PM,ETH,bitfinex,48037.575,koinex  ,58300.0,21.363,-17.603
27/Dec/2017: 07:11 PM,ETH,Kraken  ,48196.392,koinex  ,58300.0,20.963,-17.33

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:12 PM,XRP,cex,73.19,koinex  ,92.0,25.7,-20.445
27/Dec/2017: 07:12 PM,XRP,Bittrex ,75.143,koinex  ,92.0,22.433,-18.323
27/Dec/2017: 07:12 PM,XRP,exmo    ,76.078,koinex  ,92.0,20.928,-17.306
27/Dec/2017: 07:12 PM,XRP,bitfinex,72.921,koinex  ,92.0,26.164,-20.738
27/Dec/2017: 07:12 PM,XRP,Kraken  ,72.807,koinex  ,92.0,26.362,-20.862

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:12 PM,ETH,cex,52445.187,koinex  ,58300.0,11.164,-10.043
27/Dec/2017: 07:12 PM,ETH,Bittrex ,49807.075,koinex  ,58300.0,17.052,-14.568
27/Dec/2017: 07:12 PM,ETH,exmo    ,50206.576,koinex  ,58300.0,16.12,-13.882
27/Dec/2017: 07:12 PM,ETH,bitfinex,48011.319,koinex  ,58300.0,21.43,-17.648
27/Dec/2017: 07:12 PM,ETH,Kraken  ,48216.244,koinex  ,58300.0,20.914,-17.296

CURRENT_DATE_AND_TIME,CUR,BUY SOURCE,BUYPRICE,SELL SOURCE,SELLPRICE,% DIFFERENCE,FUND
27/Dec/2017: 07:13 PM,XRP,cex,73.19,koinex  ,92.0,25.7,-20.445
27/Dec/2017: 07:13 PM,XRP,Bittrex ,75.346,koinex  ,92.0,22.104,-18.102
27/Dec/2017: 07:13 PM,XRP,exmo    ,75.886,koinex  ,92.0,21.234,-17.515
27/Dec/2017: 07:13 PM,XRP,bitfinex,72.896,koinex  ,92.0,26.208,-20.766
27/Dec/2017: 07:13 PM,XRP,Kraken  ,72.868,koinex  ,92.0,26.256,-20.796

